run_id,channel,commit_hash,date,build_label,source_ref,build_source,pr_number,release_series,release_version
nightly-0f49c7a9da-362,nightly,0f49c7a9da,2026-08-15T08:40:54,2026-08-15T08:40:54|0f49c7a9da,master,status-app/systems/windows/x86_64/package,,,
nightly-27614460fb-363,nightly,27614460fb,2026-08-16T05:28:42,2026-08-16T05:28:42|27614460fb,master,status-app/systems/windows/x86_64/package,,,
nightly-27614460fb-364,nightly,27614460fb,2026-08-17T05:27:56,2026-08-17T05:27:56|27614460fb,master,status-app/systems/windows/x86_64/package,,,
nightly-e348b4caa8-365,nightly,e348b4caa8,2026-08-18T05:30:17,2026-08-18T05:30:17|e348b4caa8,master,status-app/systems/windows/x86_64/package,,,
nightly-be3c566e16-366,nightly,be3c566e16,2026-08-18T20:25:19,2026-08-18T20:25:19|be3c566e16,master,status-app/systems/windows/x86_64/package,,,
nightly-6d4aa0faf8-367,nightly,6d4aa0faf8,2026-08-19T06:10:51,2026-08-19T06:10:51|6d4aa0faf8,master,status-app/systems/windows/x86_64/package,,,
nightly-a435c8619d-368,nightly,a435c8619d,2026-08-20T06:14:16,2026-08-20T06:14:16|a435c8619d,master,status-app/systems/windows/x86_64/package,,,
nightly-1fd9ebba8d-369,nightly,1fd9ebba8d,2026-08-21T07:12:57,2026-08-21T07:12:57|1fd9ebba8d,master,status-app/systems/windows/x86_64/package,,,
nightly-6784c4472d-370,nightly,6784c4472d,2026-08-22T06:22:12,2026-08-22T06:22:12|6784c4472d,master,status-app/systems/windows/x86_64/package,,,
nightly-a152a8bd55-371,nightly,a152a8bd55,2026-08-22T10:04:32,2026-08-22T10:04:32|a152a8bd55,master,status-app/systems/windows/x86_64/package,,,
nightly-a6728b41f3-375,nightly,a6728b41f3,2026-08-24T09:20:11,2026-08-24T09:20:11|a6728b41f3,master,status-app/systems/windows/x86_64/package,,,
nightly-42be31514d-376,nightly,42be31514d,2026-08-25T06:27:45,2026-08-25T06:27:45|42be31514d,master,status-app/systems/windows/x86_64/package,,,
nightly-78bae26dd1-377,nightly,78bae26dd1,2026-08-25T13:22:37,2026-08-25T13:22:37|78bae26dd1,master,status-app/systems/windows/x86_64/package,,,
nightly-af61a2ca9a-378,nightly,af61a2ca9a,2026-08-26T06:18:50,2026-08-26T06:18:50|af61a2ca9a,master,status-app/systems/windows/x86_64/package,,,
nightly-085bd54a2e-380,nightly,085bd54a2e,2026-08-27T06:30:25,2026-08-27T06:30:25|085bd54a2e,master,status-app/systems/windows/x86_64/package,,,
nightly-1a8db03a29-381,nightly,1a8db03a29,2026-08-27T11:33:34,2026-08-27T11:33:34|1a8db03a29,master,status-app/systems/windows/x86_64/package,,,
nightly-88571a4774-382,nightly,88571a4774,2026-08-27T20:13:37,2026-08-27T20:13:37|88571a4774,master,status-app/systems/windows/x86_64/package,,,
nightly-88571a4774-383,nightly,88571a4774,2026-08-28T06:22:59,2026-08-28T06:22:59|88571a4774,master,status-app/systems/windows/x86_64/package,,,
nightly-d059e4e4da-384,nightly,d059e4e4da,2026-08-29T06:26:08,2026-08-29T06:26:08|d059e4e4da,master,status-app/systems/windows/x86_64/package,,,
nightly-d059e4e4da-385,nightly,d059e4e4da,2026-08-30T06:21:23,2026-08-30T06:21:23|d059e4e4da,master,status-app/systems/windows/x86_64/package,,,
nightly-f88fd1a11f-386,nightly,f88fd1a11f,2026-08-31T06:30:36,2026-08-31T06:30:36|f88fd1a11f,master,status-app/systems/windows/x86_64/package,,,
nightly-847e196cf1-388,nightly,847e196cf1,2026-09-01T06:22:29,2026-09-01T06:22:29|847e196cf1,master,status-app/systems/windows/x86_64/package,,,
nightly-a11b7535f6-389,nightly,a11b7535f6,2026-09-02T05:35:30,2026-09-02T05:35:30|a11b7535f6,master,status-app/systems/windows/x86_64/package,,,
nightly-d785f9accc-390,nightly,d785f9accc,2026-09-03T05:33:40,2026-09-03T05:33:40|d785f9accc,master,status-app/systems/windows/x86_64/package,,,
nightly-a167415d45-391,nightly,a167415d45,2026-09-04T05:26:27,2026-09-04T05:26:27|a167415d45,master,status-app/systems/windows/x86_64/package,,,
nightly-3ddecdb8bb-392,nightly,3ddecdb8bb,2026-09-05T05:31:53,2026-09-05T05:31:53|3ddecdb8bb,master,status-app/systems/windows/x86_64/package,,,
nightly-3ddecdb8bb-393,nightly,3ddecdb8bb,2026-09-06T05:28:06,2026-09-06T05:28:06|3ddecdb8bb,master,status-app/systems/windows/x86_64/package,,,
nightly-3ddecdb8bb-394,nightly,3ddecdb8bb,2026-09-07T05:30:45,2026-09-07T05:30:45|3ddecdb8bb,master,status-app/systems/windows/x86_64/package,,,
nightly-ad439bc22b-395,nightly,ad439bc22b,2026-09-08T05:41:18,2026-09-08T05:41:18|ad439bc22b,master,status-app/systems/windows/x86_64/package,,,
nightly-8fe906c988-396,nightly,8fe906c988,2026-09-08T12:47:56,2026-09-08T12:47:56|8fe906c988,master,status-app/systems/windows/x86_64/package,,,
nightly-d0d5b55e7e-397,nightly,d0d5b55e7e,2026-09-10T05:32:40,2026-09-10T05:32:40|d0d5b55e7e,master,status-app/systems/windows/x86_64/package,,,
