run_id,channel,commit_hash,date,build_label,source_ref,build_source,pr_number,release_series,release_version
nightly-0f49c7a9da-362,nightly,0f49c7a9da,2026-08-15T08:40:54,2026-08-15T08:40:54|0f49c7a9da,master,status-app/systems/windows/x86_64/package,,,
nightly-27614460fb-363,nightly,27614460fb,2026-08-16T05:28:42,2026-08-16T05:28:42|27614460fb,master,status-app/systems/windows/x86_64/package,,,
nightly-27614460fb-364,nightly,27614460fb,2026-08-17T05:27:56,2026-08-17T05:27:56|27614460fb,master,status-app/systems/windows/x86_64/package,,,
nightly-e348b4caa8-365,nightly,e348b4caa8,2026-08-18T05:30:17,2026-08-18T05:30:17|e348b4caa8,master,status-app/systems/windows/x86_64/package,,,
nightly-be3c566e16-366,nightly,be3c566e16,2026-08-18T20:25:19,2026-08-18T20:25:19|be3c566e16,master,status-app/systems/windows/x86_64/package,,,
nightly-6d4aa0faf8-367,nightly,6d4aa0faf8,2026-08-19T06:10:51,2026-08-19T06:10:51|6d4aa0faf8,master,status-app/systems/windows/x86_64/package,,,
nightly-a435c8619d-368,nightly,a435c8619d,2026-08-20T06:14:16,2026-08-20T06:14:16|a435c8619d,master,status-app/systems/windows/x86_64/package,,,
nightly-1fd9ebba8d-369,nightly,1fd9ebba8d,2026-08-21T07:12:57,2026-08-21T07:12:57|1fd9ebba8d,master,status-app/systems/windows/x86_64/package,,,
nightly-6784c4472d-370,nightly,6784c4472d,2026-08-22T06:22:12,2026-08-22T06:22:12|6784c4472d,master,status-app/systems/windows/x86_64/package,,,
nightly-a152a8bd55-371,nightly,a152a8bd55,2026-08-22T10:04:32,2026-08-22T10:04:32|a152a8bd55,master,status-app/systems/windows/x86_64/package,,,
nightly-a6728b41f3-375,nightly,a6728b41f3,2026-08-24T09:20:11,2026-08-24T09:20:11|a6728b41f3,master,status-app/systems/windows/x86_64/package,,,
nightly-42be31514d-376,nightly,42be31514d,2026-08-25T06:27:45,2026-08-25T06:27:45|42be31514d,master,status-app/systems/windows/x86_64/package,,,
nightly-78bae26dd1-377,nightly,78bae26dd1,2026-08-25T13:22:37,2026-08-25T13:22:37|78bae26dd1,master,status-app/systems/windows/x86_64/package,,,
nightly-af61a2ca9a-378,nightly,af61a2ca9a,2026-08-26T06:18:50,2026-08-26T06:18:50|af61a2ca9a,master,status-app/systems/windows/x86_64/package,,,
